Return,Volatility,Sharpe Ratio,AAPL weight,JPM weight,KO weight,JNJ weight,XOM weight,BA weight
0.0922173375975757,0.16146659286887022,0.571123326250322,0.08128023493536851,0.1905817499512773,0.2101109341821164,0.22214915958074616,0.031138539900551775,0.2647393814499399
0.10618853417986851,0.17055428414895857,0.6226084247002887,0.08130625631029756,0.01321324942007041,0.19596105742914965,0.1310011705443703,0.29306254270873766,0.2854557235873744
0.10254501031427743,0.18073505626545094,0.5673775327995391,0.09704307406311685,0.2915829267971421,0.08901954932627949,0.157605163762461,0.07832416585817482,0.2864251201928255
0.10660272365200084,0.1539896749187783,0.6922718923085482,0.050227017854476266,0.013703641268132049,0.1327617856929173,0.3028049694501477,0.2720787544024193,0.22842383133190747
0.1333911344128988,0.16740120392600497,0.7968349765982604,0.21980221544888306,0.22045712419204755,0.12802781600082963,0.07795519857670526,0.19049334684525962,0.1632642989362748
0.14063780779741336,0.15112570977040016,0.9306014708621009,0.1407289862701681,0.03557854529782983,0.28125992543770334,0.09884929304982672,0.3528276141820145,0.09075563576245749
0.1107362982706284,0.19602006654187232,0.5649232766022644,0.044471581205337576,0.3010876280100134,0.05553039058544,0.06494362496312646,0.2171387214054043,0.31682805383067825
0.12384901150323413,0.1286439285486137,0.9627272184589138,0.06772141962438455,0.1069849845260202,0.26801256833687154,0.3350399735297743,0.1726319734384087,0.04960908054454074
0.08163998556778312,0.16313212035871705,0.5004531626773565,0.00828931253432583,0.13659954845311442,0.07840793653803316,0.40307179751088695,0.07246604898313481,0.3011653559805049
0.12161046709375883,0.16250402400679298,0.7483535736239694,0.18594636628352976,0.15564218417142572,0.05350650502027136,0.21537105567953954,0.19160961235387203,0.1979242764913615
0.09870756746687914,0.1435726440333949,0.6875095749014682,0.05531064746192914,0.05222814312348129,0.3914616621144509,0.1677909704378316,0.12701016763548673,0.20619840922682056
0.11482971693769037,0.16084681648066382,0.7139073029244232,0.19439975333285664,0.28025788973363974,0.08400676153090143,0.27122075242056554,0.007290601755856337,0.16282424122618025
0.13110480962433446,0.1747982484276062,0.7500350306921545,0.2215456083703758,0.03700634978649735,0.04904233752573281,0.14646148585147492,0.3376543224780655,0.20828989598785383
0.13586075045299956,0.1536578551298022,0.8841770590786356,0.299380791639319,0.2580966926706599,0.14996955127364675,0.2518084193915086,0.0057233200457450445,0.03502122497912072
0.1210865561478677,0.17465684549506652,0.6932826240199558,0.21468817467775103,0.2062470514943044,0.060216413266031964,0.13738367899964254,0.15686031086631683,0.22460437069595332
0.11341680396201381,0.17323094474837392,0.6547144572048432,0.1808326975150191,0.12370343956615101,0.1121935117384041,0.12769439985105793,0.1954718071487723,0.26010414418059546
0.14662212309718445,0.14578980814303283,1.0057090064439556,0.17415641340383436,0.09509395434870317,0.09080535679997605,0.2862394004579252,0.3133105618284614,0.04039431316109988
0.12698383595951965,0.14149231978962784,0.8974609798490861,0.0319068506082175,0.2849584108504877,0.07007223499219174,0.39532585640039364,0.14876761008851716,0.06896903706019243
0.15533185210632794,0.18419759683506168,0.8432892435910477,0.5543093720021729,0.09962945394764561,0.17136598268007838,0.09245610707806046,0.06951061578546561,0.012728468506576912
0.1205099283378302,0.16227621004454346,0.7426222753461597,0.02842382512635328,0.08960992805325164,0.027390694297471603,0.3033205947417034,0.34928003895313264,0.20197491882808738
0.11458264291573261,0.1327705534377692,0.8630124673649009,0.11464809579667336,0.18190123216808815,0.3154731418628464,0.3068658878276869,0.015674442216099163,0.06543720012860581
0.0990372712289082,0.14727241644715136,0.6724767177596198,0.12483279596785699,0.1314991460028419,0.3012042826209271,0.21949029862605943,0.025971120197093595,0.19700235658522086
0.15369475247841388,0.15577527955781292,0.9866440484953397,0.20662493701739024,0.04011041958876726,0.3288063992857995,0.020499392723126175,0.36485788462820634,0.03910096675671055
0.12707408381478383,0.14828365900093637,0.8569662002606868,0.17042656821660082,0.18236207383604708,0.19790164359642867,0.16203245264340663,0.15747703511580538,0.1298002265917115
0.1324243029955249,0.1557339399712338,0.8503239757498301,0.23719437015340386,0.040969416788336266,0.16322582178812933,0.1565742497977992,0.26111968739110847,0.14091645408122283
0.1326587588183282,0.1719941701109213,0.7712979965121772,0.16558351755348943,0.2750039593961284,0.11457579045278424,0.06009861438180266,0.2054810655523667,0.17925705266342867
0.10227512689981483,0.17205295057545114,0.5944398312132617,0.09858095505001047,0.15577965557767118,0.15530518494715045,0.13881770550834693,0.1608459429519859,0.2906705559648351
0.11746249480670531,0.15001215616777175,0.7830198419075899,0.08465764201419013,0.27057743392498335,0.2613068708475512,0.1371369790708797,0.09363586449474688,0.15268520964764867
0.1379867629033078,0.1471449761335738,0.9377606122144976,0.22572089182446692,0.1735911563799904,0.21397183015548754,0.14170651219231775,0.16835892504986408,0.07665068439787337
0.1040804272321344,0.15170080252232943,0.6860901557644324,0.22686806488384825,0.062484100711561845,0.2144903709192725,0.26571164279968695,0.04078132251230968,0.18966449817332082
0.08561924951750483,0.17926274514207613,0.47761875703535944,0.0323726614727831,0.24704938755762035,0.028763329808457055,0.3186142766964045,0.04677664864715154,0.32642369581758346
0.1407879470040132,0.14313091614995885,0.9836305865359591,0.19197957488912534,0.14231123830403195,0.18760246161836816,0.19059660976469217,0.22677170903921245,0.06073840638456983
